participant,image,modality,PID,length,attributives,adverbs,syllables,chars,consciousness_of_projection,self_reference_words,negations,pseudo_quantifiers,positive_allness,prepositions
ppt-36,img-713769,spoken,0.2631578947368421,18,0,1,1.3333333333333333,4.277777777777778,0,0,0,0,0,2
ppt-36,img-713770,spoken,0.6666666666666666,12,1,0,1.6666666666666667,5.333333333333333,0,0,0,0,0,0
ppt-36,img-713786,spoken,0.375,9,0,0,1.5555555555555556,4.111111111111111,0,0,0,0,0,1
ppt-36,img-713788,spoken,0.5555555555555556,10,1,0,1.7,4.9,0,0,0,1,0,2
ppt-36,img-713858,spoken,0.4166666666666667,13,1,0,1.4615384615384615,4.3076923076923075,0,0,0,0,0,3
ppt-36,img-713888,spoken,0.4166666666666667,12,0,0,1.3333333333333333,4.25,0,0,0,0,0,1
ppt-36,img-713920,spoken,0.4166666666666667,12,1,0,1.4166666666666667,4.75,0,0,0,0,0,1
ppt-36,img-713936,spoken,0.4166666666666667,12,0,0,1.25,3.75,0,0,0,0,0,2
ppt-37,img-107906,spoken,0.45454545454545453,11,0,0,1.3636363636363635,4.636363636363637,0,0,0,0,0,2
ppt-37,img-107930,spoken,0.3333333333333333,6,0,0,1.5,5.0,0,0,0,0,0,1
